text,indices
SKRÓCONE SPRAWOZDANIE FINANSOWE TECHMEX S.A. SPORZĄDZONE NA DZIEŃ 30 CZERWCA 2005 ROKU ....... 38,"{'entities': [(32, 44, 'company')]}"
SPRAWOZDANIE Z DZIAŁALNOŚCI GRUPY KAPITAŁOWEJ TECHMEX S.A.,"{'entities': [(46, 58, 'company')]}"
DZIAŁALNOŚĆ OPERACYJNA GRUPY KAPITAŁOWEJ TECHMEX S.A. W I POŁROCZU 2005 ROKU ........................1,"{'entities': [(41, 53, 'company')]}"
AKCJE TECHMEX S.A. POSIADANE PRZEZ OSOBY ZARZĄDZAJĄCE I NADZORUJĄCE SPÓŁKĘ.......................8,"{'entities': [(6, 18, 'company')]}"
INFORMACJE O ZATRUDNIENIU W GRUPIE KAPITAŁOWEJ TECHMEX S.A.............................................................9,"{'entities': [(47, 59, 'company')]}"
z przeglądu skonsolidowanego sprawozdania finansowego TECHMEX S.A.,"{'entities': [(54, 66, 'company')]}"
"Kapitałowej TECHMEX S.A., w której jednostką dominującą jest TECHMEX S.A. z siedzibą w Bielsku-Białej","{'entities': [(12, 24, 'company'), (61, 73, 'company')]}"
"przy ul. Partyzantów 71, na które składa się:","{'entities': [(9, 23, 'street_full')]}"
z przeglądu skróconego sprawozdania finansowego TECHMEX S.A.,"{'entities': [(48, 60, 'company')]}"
"z siedzibą w Bielsku-Białej, przy ul. Partyzantów 71, na które składa się:","{'entities': [(38, 52, 'street_full')]}"
Skonsolidowane sprawozdanie finansowe Grupy Kapitałowej TECHMEX S.A.,"{'entities': [(56, 68, 'company')]}"
Noty objaśniające do skonsolidowanego sprawozdania finansowego Grupy TECHMEX S.A.,"{'entities': [(69, 81, 'company')]}"
Spółka dominująca TECHMEX S.A. została utworzona na podstawie aktu notarialnego z dnia 28 maja 1987 r.,"{'entities': [(18, 30, 'company')]}"
w Bielsku – Białej przy ul. Partyzantów 71.,"{'entities': [(28, 42, 'street_full')]}"
TECHMEX S.A.,"{'entities': [(0, 12, 'company')]}"
Spółka TECHMEX S.A. w informacji dodatkowej do skonsolidowanego sprawozdania finansowego Grupy,"{'entities': [(7, 19, 'company')]}"
sprawozdanie finansowe TECHMEX S.A. powinno być czytane łącznie ze skonsolidowanym sprawozdaniem,"{'entities': [(23, 35, 'company')]}"
W związku z zastosowaniem MSSF do sporządzenia sprawozdania finansowego TECHMEX S.A. dokonano,"{'entities': [(72, 84, 'company')]}"
zainicjowanego przez TECHMEX S.A. Agencję Mienia Wojskowego. Technologię i wyposażenie dostarczyła,"{'entities': [(21, 33, 'company')]}"
usług finansowych i marketingowych. Oferta TECHMEX S.A. w ciągu ostatnich kilkunastu miesięcy znacznie,"{'entities': [(43, 55, 'company')]}"
"W okresie I półrocza 2005 roku TECHMEX S.A. zawierała umowy kredytowo - gwarancyjne, które były istotne","{'entities': [(31, 43, 'company')]}"
Dnia 2 czerwca 2005 roku TECHMEX S.A. podpisała z Kredyt Bankiem umowę o kredyt w rachunku,"{'entities': [(25, 37, 'company')]}"
Ponadto w okresie I półrocza 2005 roku TECHMEX S.A. zawierała aneksy do istniejących już umów,"{'entities': [(39, 51, 'company')]}"
"pozyskanych kontraktów pod względem geoinformatycznym. Zespół ds. GIS stworzony w TECHMEX S.A.,","{'entities': [(82, 94, 'company')]}"
"Space Imaging oraz niższe niż w zachodniej Europie koszty pracy, TECHMEX S.A. już dzisiaj prowadzi rozmowy","{'entities': [(65, 77, 'company')]}"
pracowników. Kadra kierownicza wniosła istotny wkład w rozwój i transformację Grupy. Zarząd TECHMEX S.A.,"{'entities': [(92, 104, 'company')]}"
W roku 2001 Zarząd TECHMEX S.A. zdecydował o zmianie strategii rozwoju i podniesieniu bezpieczeństwa,"{'entities': [(19, 31, 'company')]}"
"Zgodnie z nową strategią rozwoju, głównym obszarem wzrostu wartości TECHMEX S.A. jest rynek cyfrowego","{'entities': [(68, 80, 'company')]}"
"Zgodnie z MSSF konsolidacją za I półrocze 2005 objęto podmioty zależne od TECHMEX S.A., które mają istotny","{'entities': [(74, 86, 'company')]}"
W okresie I półrocza 2005 roku Spółka TECHMEX S.A. nie udzieliła osobom zarządzającym oraz ich,"{'entities': [(38, 50, 'company')]}"
zarządzającym w TECHMEX S.A. w okresie I półrocza 2005 roku.,"{'entities': [(16, 28, 'company')]}"
W I półroczu 2005 r. członkowie Zarządu TECHMEX S.A. nie pobierali wynagrodzenia w formie programów,"{'entities': [(40, 52, 'company')]}"
W skład Rady Nadzorczej TECHMEX S.A. na dzień 30.06.2005 roku wchodzą następujące osoby:,"{'entities': [(24, 36, 'company')]}"
"roku, w którym złożył on rezygnację z funkcji Przewodniczącego i Członka Rady Nadzorczej TECHMEX S.A.","{'entities': [(89, 101, 'company')]}"
oraz Pana Dominika Wilczyńskiego do Rady Nadzorczej TECHMEX S.A.,"{'entities': [(52, 64, 'company')]}"
nadzorującym TECHMEX S.A. w okresie I półrocza 2005 roku.,"{'entities': [(13, 25, 'company')]}"
"Osoby zarządzające spółką TECHMEX S.A., w których posiadaniu znajdują się akcje Spółki:","{'entities': [(26, 38, 'company')]}"
nabył 30 tysięcy akcji spółki TECHMEX S.A. Wartość transakcji przekroczyła równowartość 5 000 EUR.,"{'entities': [(30, 42, 'company')]}"
Zasadnicze zmiany nastąpiły w wielkości i strukturze zatrudnienia w TECHMEX SA.,"{'entities': [(68, 78, 'company')]}"
"W spółkach objętych konsolidacją – TECHMEX S.A., Karen Notebook S.A. wraz ze spółką zależną","{'entities': [(35, 47, 'company')]}"
"Podsumowując, Zarząd TECHMEX SA jest głęboko przekonany, że obrana strategia rozwoju przyniesie bardzo","{'entities': [(21, 31, 'company')]}"
jest podpisanie w sierpniu 2005 roku przez Konsorcjum kierowane przez TECHMEX S.A. umowy na kwotę,"{'entities': [(70, 82, 'company')]}"
Rolnictwa na wykonanie usługi w ramach systemu IACS . Drugą tego rodzaju umowę podpisał TECHMEX S.A.,"{'entities': [(88, 100, 'company')]}"
KRS:0000049844. Siedziba Emitenta mieści się w Zabrzu przy ulicy Wolności 191.,"{'entities': [(65, 77, 'street_full')]}"
ul. Łąkowa 33. Spółka została utworzona aktem notarialnym z dnia 12 stycznia 1993 roku. W dniu 24 sierpnia,"{'entities': [(0, 13, 'street_full')]}"
ul. Łowiecka 24,"{'entities': [(0, 15, 'street_full')]}"
"ul. Jagiellońska 36, 03-719 Warszawa","{'entities': [(4, 19, 'street_full'), (21, 36, 'city_postal')]}"
"Oświęcim, ul. Chemików 1","{'entities': [(14, 24, 'street_full')]}"
"S.A., z siedzibą w Oświęcimiu ul. Chemików 1 zostało sporządzone po raz pierwszy zgodnie","{'entities': [(34, 44, 'street_full')]}"
"Ośrodek Sportowo-Rekreacyjny „Sport-Olimp” sp. z o.o., ul. Chemików 1","{'entities': [(59, 69, 'street_full')]}"
por czenie Farmacol S.A.,"{'entities': [(11, 24, 'company')]}"
"6 stycznia 2005r. Siedzibą podmiotu dominującego jest Świecie, ul. Bydgoska 1.","{'entities': [(63, 77, 'street_full')]}"
Wiertnicza 169,"{'entities': [(0, 14, 'street_full')]}"
"ul. Wiertnicza 169, 02-952 Warszawa","{'entities': [(4, 18, 'street_full'), (20, 35, 'city_postal')]}"
Polski Koncern Mięsny DUDA S.A.,"{'entities': [(0, 31, 'company')]}"
02-677 Warszawa ul.Taśmowa 3,"{'entities': [(19, 28, 'street_full'), (0, 15, 'city_postal')]}"
02-677 Warszawa ul. Taśmowa 3,"{'entities': [(20, 29, 'street_full'), (0, 15, 'city_postal')]}"
"Taśmowa 3, 02-677 Warszawa","{'entities': [(0, 9, 'street_full'), (11, 26, 'city_postal')]}"
"Rondo ONZ 1, 00-124 Warszawa","{'entities': [(0, 11, 'street_full'), (13, 28, 'city_postal')]}"
• Bauma Kruszywa Sp. z o. o. w likwidacji z siedzibą w Warszawie przy ulicy Klasyków 10 powstała,"{'entities': [(76, 87, 'street_full')]}"
"ul. Lubliniecka 35, 42-284 Herby","{'entities': [(20, 32, 'city_postal')]}"
"Rondo ONZ 1, 00-124 WARSZAWA","{'entities': [(0, 11, 'street_full')]}"
"ul. Rakoniewicka nr 20, 60-111 Poznań","{'entities': [(24, 37, 'city_postal')]}"
"Poznań, ul. Rakoniewicka 20 Agencja marketingu mobilnego","{'entities': [(12, 27, 'street_full')]}"
"MCI Management S.A. Wrocław , ul. Św. Mikołaja 7","{'entities': [(34, 48, 'street_full')]}"
"Dominacja LPP SA w podmiotach zale nych, z uwagi na jej 100% udział w kapitale spółek zale nych","{'entities': [(10, 16, 'company')]}"
Wi kszo operacji zakupu towarów handlowych nabywanych przez GK LPP SA zwi zana jest z,"{'entities': [(63, 69, 'company')]}"
kurs Euro ma wpływ na ponoszone przez GK LPP SA koszty. Jest to mianowicie przewa aj ca cz,"{'entities': [(41, 47, 'company')]}"
rynku detalicznym. Przytoczona powy ej opinia dotycz ca wpływy na wyniki GK LPP SA zmiany,"{'entities': [(76, 82, 'company')]}"
Wielko ci podane w tabeli obrazuj tylko transakcje wzajemne pomi dzy LPP SA a polskimi 19,"{'entities': [(69, 75, 'company')]}"
"obrazowane jest poniesieniem przez GK LPP SA straty netto w wysoko ci 7,8 mln złotych.","{'entities': [(38, 44, 'company')]}"
Wielko realizowanych przychodów ze sprzeda y pozwala na zaliczenie GK LPP SA do grona,"{'entities': [(70, 76, 'company')]}"
operuj podmioty z GK LPP SA daje bardzo du e szanse na dalszy rozwój GK LPP SA,"{'entities': [(21, 27, 'company'), (72, 78, 'company')]}"
pozwalaj cy na osi gni cie wzrostu sprzeda y. GK LPP SA nieustannie pracuje nad ci głym,"{'entities': [(49, 55, 'company')]}"
"projektowy LPP SA, który tworzy kolekcje dla całej GK jest odpowiednio wyposa ony w takie rodki.","{'entities': [(11, 17, 'company')]}"
"Wyniki ostatnich 12 miesi cy funkcjonowania GK LPP SA pokazuj jednoznacznie, e ww.","{'entities': [(47, 53, 'company')]}"
Inwestycje długoterminowe wyst puj ce w LPP SA obejmuj :,"{'entities': [(40, 46, 'company')]}"
"Koszty finansowania zewn trznego, s ujmowane przez LPP SA zgodnie z podej ciem wzorcowym,","{'entities': [(51, 57, 'company')]}"
Walut funkcjonaln LPP SA jest złoty polski (PLN).,"{'entities': [(18, 24, 'company')]}"
Wi kszo operacji zakupu towarów handlowych nabywanych przez LPP SA zwi zana jest z,"{'entities': [(60, 66, 'company')]}"
LPP SA jest wła cicielem 7 spółek zagranicznych buduj cych sieci sprzeda y detalicznej poza,"{'entities': [(0, 6, 'company')]}"
POLSKIE GÓRNICTWO NAFTOWE I GAZOWNICTWO S.A.,"{'entities': [(0, 44, 'company')]}"
"oraz 43-200 Pszczyna, ul. Górnośląska 3","{'entities': [(5, 20, 'city_postal')]}"
"Siedziba: 00-613 Warszawa, ul. Chałubińskiego 8.","{'entities': [(27, 47, 'street_full'), (10, 25, 'city_postal')]}"
AGORA SA.,"{'entities': [(0, 8, 'company')]}"
ul. Czerska 8/10,"{'entities': [(4, 16, 'street_full')]}"
"18-402 Łomża, ul. Poznańska 121","{'entities': [(14, 31, 'street_full'), (0, 12, 'city_postal')]}"
zlokalizowanych przy ul. Pereca 21 i elaznej 56;,"{'entities': [(25, 34, 'street_full')]}"
wych i Urządzeń Przemysło41-800 Zabrze,"{'entities': [(25, 38, 'city_postal')]}"
44-100 Gliwice,"{'entities': [(0, 14, 'city_postal')]}"
ul. Dubois 16,"{'entities': [(4, 13, 'street_full')]}"
"Warszawie, ul. Wolska 171/175 i ul. Chałubińskiego 8. Standardowo umowy zawierane są na okres 5","{'entities': [(32, 52, 'street_full')]}"
"Adres: 39-100 Ropczyce, ul. Przemysłowa 1","{'entities': [(24, 41, 'street_full'), (7, 22, 'city_postal')]}"
"Wandalex S.A., siedziba: ul. Garażowa 7, 02-651 Warszawa","{'entities': [(29, 39, 'street_full'), (41, 56, 'city_postal')]}"
podmiotu dominującego jest Warszawa ul. Grochowska 129. Spółka została zarejestrowana przez,"{'entities': [(40, 54, 'street_full')]}"
gospodarczej Spółki PROSPER S.A. w dającej się przewidzieć przyszłości. Na dzień bieżący nie,"{'entities': [(20, 32, 'company')]}"
"zakupów. Po przeprowadzeniu wyceny Zarząd Spółki PROSPER S.A. uważa, że nie nastąpiła utrata","{'entities': [(49, 61, 'company')]}"
marcu 2006 roku Sąd Okręgowy Warszawa Praga odrzucił pozew NFZ przeciwko PROSPER S.A.,"{'entities': [(73, 85, 'company')]}"
40-951 KATOWICE ul. Mickiewicza 15,"{'entities': [(16, 34, 'street_full')]}"
"Siedziba 97-438 Rusiec, ul. Wieluńska 2","{'entities': [(28, 39, 'street_full'), (9, 22, 'city_postal')]}"
"Wieluńskiej 2, 97-438 Rusiec.","{'entities': [(15, 28, 'city_postal')]}"
GRUPA KAPITAŁOWA TOORA POLAND S.A.,"{'entities': [(17, 34, 'company')]}"
"pod numerem 0000237392. Siedzibą Spółki jest Nisko, ul. Sandomierska 14.","{'entities': [(56, 71, 'street_full')]}"
"Rejestru Przedsiębiorców dotyczącego zmiany adresu siedziby Spółki. Adresem siedziby są Kielce, ul. Zagnańska 27, 25-528","{'entities': [(96, 112, 'street_full'), (100, 112, 'street_full')]}"
"Wejherowo, ul. Zachodnia 22","{'entities': [(15, 27, 'street_full')]}"
"84-240 Wejherowo, ul. Zachodnia 22","{'entities': [(22, 34, 'street_full')]}"
Zarząd GRAAL SA,"{'entities': [(7, 15, 'company')]}"
"ul. Skórzewska 35, 62-081 Przeźmierowo, Wysogotowo k/Poznania","{'entities': [(4, 17, 'street_full')]}"
spółka zaleŜna - 100% udziałów PBG SA,"{'entities': [(31, 37, 'company')]}"
"spółka zaleŜna - 76% PBG SA , 24% gmina Lubicz","{'entities': [(21, 27, 'company')]}"
"ul. świrki i Wigury 17A, 87-100 Toruń","{'entities': [(25, 37, 'city_postal')]}"
"Oddział Poznań, ul. Skórzewska 35, 62-081 Przeźmierowo","{'entities': [(20, 33, 'street_full')]}"
"Oddział Katowice, ul. Wiejska 7, 44-200 Rybnik","{'entities': [(33, 46, 'city_postal')]}"
PBG SA w opinii Instytucji Finansowych. Przyjęte zasady controllingu w PBG SA,"{'entities': [(0, 6, 'company'), (71, 77, 'company')]}"
Adres Spółki: : 42-520 Dąbrowa Górnicza ul. Chemiczna 6,"{'entities': [(44, 55, 'street_full'), (16, 39, 'city_postal')]}"
"63-000 Środa Wielkopolska, ul. Prądzyńskiego 24A","{'entities': [(27, 48, 'street_full'), (0, 25, 'city_postal')]}"
"Grupy Kapitałowej Inter Cars S.A. z siedzibą w Warszawie ul. Powsińska 64, na które składa się:","{'entities': [(61, 73, 'street_full')]}"
ul Powsińska 64,"{'entities': [(3, 15, 'street_full')]}"
"finansowego Inter Cars S.A. z siedzibą w Warszawie, ul Powsińska 64, na które składa się: skrócony","{'entities': [(55, 67, 'street_full')]}"
Siedziba: 41-405 Mysłowice ul. Modrzewskiego 42,"{'entities': [(31, 47, 'street_full'), (10, 26, 'city_postal')]}"
"rozszerzona działalność Spółki - na EUROFAKTOR SA SOLUTION, jak i oferty produktowej","{'entities': [(36, 49, 'company')]}"
"zlokalizowanej w Mysłowicach przy ulicy Modrzewskiego 42, stanowiącej siedzibę Spółki wraz","{'entities': [(40, 56, 'street_full')]}"
"(Spółka) z siedzibą w Komornikach, ul. Wiśniowa 11, obejmującego:","{'entities': [(39, 50, 'street_full')]}"
EUROCASH Spółka Akcyjna,"{'entities': [(0, 23, 'company')]}"
"ul. Wiśniowa 11, 62-052 Komorniki","{'entities': [(4, 15, 'street_full'), (17, 33, 'city_postal')]}"
Jednostkowe sprawozdanie finansowe EUROCASH Spółka Akcyjna sporządzone zostało,"{'entities': [(35, 58, 'company')]}"
.....................................................................................................EMAX SA......................................................................................................,"{'entities': [(101, 108, 'company')]}"
1. Informacje o JC AUTO SA,"{'entities': [(16, 26, 'company')]}"
zawartymi w skonsolidowanych sprawozdaniach finansowych Grupy Kapitałowej JC AUTO SA,"{'entities': [(74, 84, 'company')]}"
"Adres: 02-305 Warszawa, Al. Jerozolimskie 136","{'entities': [(24, 45, 'street_full'), (7, 22, 'city_postal')]}"
"80-215 Gdańsk, ul. Wileńska 44","{'entities': [(19, 30, 'street_full'), (0, 13, 'city_postal')]}"
"Swissmed Nieruchomości Sp. z o.o. z siedzibą w Gdańsku, ul. Wileńska 44, wpisana do Krajowego","{'entities': [(60, 71, 'street_full')]}"
"Prywatny Serwis Medyczny Sp. z o.o. z siedzibą w Gdańsku, ul. Wileńska 44, wpisany","{'entities': [(62, 73, 'street_full')]}"
medycznych - Szpital ul. Wileńska 44,"{'entities': [(25, 36, 'street_full')]}"
ul.Pilczycka 144-148,"{'entities': [(3, 20, 'street_full')]}"
59-300 Lubin,"{'entities': [(0, 12, 'city_postal')]}"
KGHM Polska Miedź S.A. z siedzibą w Lubinie przy ul. M. Skłodowskiej-Curie 48 – będąca Jednostką,"{'entities': [(53, 77, 'street_full')]}"
Spółka dominująca Grupy Kapitałowej PROSPER S.A. została utworzona na podstawie aktu,"{'entities': [(36, 48, 'company')]}"
Z dniem 29 września 2006 r. decyzją Rady Nadzorczej Spółki PROSPER S.A. został odwołany ze,"{'entities': [(59, 71, 'company')]}"
W Spółce PROSPER S.A. przeprowadzono wycenę metodą DCF spółek CITODAT i Cefarm.,"{'entities': [(9, 21, 'company')]}"
"w odniesieniu do zakupów. Po przeprowadzeniu wyceny Zarząd Spółki PROSPER S.A. uważa, że nie","{'entities': [(66, 78, 'company')]}"
"30-11-2006. Zabezpieczeniem kredytu jest weksel in blanco, poręczenie PROSPER SA, przewłaszczenie zapasów na kwotę 3.000","{'entities': [(70, 80, 'company')]}"
3) Spółka PROSPER S.A. przejęła poręczenia spółki CITODAT SA na łączną kwotę 47 tys.PLN,"{'entities': [(10, 22, 'company')]}"
"w Katowicach, ul. Modelarska 11","{'entities': [(18, 31, 'street_full')]}"
"FASING S. A. w Katowicach, ul. Modelarska 11.","{'entities': [(31, 44, 'street_full')]}"
"z siedzibą w Katowicach, ul. Modelarska 11, na które składa się:","{'entities': [(29, 42, 'street_full')]}"
"Katowice, ul. Modelarska 11","{'entities': [(14, 27, 'street_full')]}"
"FASING SA w Katowicach, ul. Modelarska 11","{'entities': [(28, 41, 'street_full')]}"
"40-142 Katowice, ul. Modelarska 11","{'entities': [(21, 34, 'street_full'), (0, 15, 'city_postal')]}"
przy ul. Pereca 21 i elaznej 56;,"{'entities': [(9, 18, 'street_full')]}"
w Krakowie ul. Opolska 12,"{'entities': [(15, 25, 'street_full')]}"
"„efekt” S.A. z siedzibą w Krakowie ul. Opolska 12, a Kancelarią","{'entities': [(39, 49, 'street_full')]}"
d) „LIDER HOTELE” sp. z o.o. Kraków ul. Opolska 12 obejmujący:,"{'entities': [(40, 50, 'street_full')]}"
„efekt” Spółka Akcyjna w Krakowie ul. Opolska 12 sporządzone,"{'entities': [(38, 48, 'street_full')]}"
ul. Marszałkowska 8,"{'entities': [(0, 19, 'street_full')]}"
"MUZA S.A. z siedzibą w Warszawie, kod 00-590 ul. Marszałkowska 8 jako zamawiającym,","{'entities': [(45, 64, 'street_full')]}"
złotych. Zgodnie z powyŜszym aktualnie MUZA SA posiada w spółce WILGA Sp. z o.o.,"{'entities': [(39, 46, 'company')]}"
W dniu 22 maja 2006 roku Jupiter NFI S.A. zawarł ze spółką Netia S.A. umowę sprzedaży wszystkich posiadanych akcji Pro Futuro,"{'entities': [(59, 69, 'company')]}"
"w umowie sprzedaży obligacji i akcji zawartej z Netią S.A. w dniu 22 maja 2006 roku, Fundusz przeniósł na Netia S.A.","{'entities': [(106, 116, 'company')]}"
"40-486 Katowice, ul. Kolista 25","{'entities': [(21, 31, 'street_full'), (0, 15, 'city_postal')]}"
FUNDUSZU INWESTYCYJNEGO MAGNA POLONIA S.A.,"{'entities': [(24, 42, 'company')]}"
"Komornikach, ul. Wiśniowa 11, obejmującego:","{'entities': [(17, 28, 'street_full')]}"
62-052 Komorniki,"{'entities': [(0, 16, 'city_postal')]}"
powi zanych. W wyniku udzielenia ww. por cze Farmacol S.A. przedstawił bankom,"{'entities': [(45, 58, 'company')]}"
9. W I półroczu 2006 r. Grupa Kapitałowa Farmacol S.A. uzyskała dotacje z tytułu posiadania przez,"{'entities': [(41, 54, 'company')]}"
1. Podmiot dominuj cy Grupy Kapitałowej działa pod firm Farmacol S.A. Siedziba Spółki mie ci,"{'entities': [(56, 69, 'company')]}"
nieruchomo ci oraz por czenie kredytu wystawione przez Farmacol S.A. do kwoty,"{'entities': [(55, 68, 'company')]}"
przez Farmacol S.A. do kwoty 11 400 tys. zł.,"{'entities': [(6, 19, 'company')]}"
W dniu 9.08.2006 r. Rada Nadzorcza Farmacol S.A. podj ła decyzj o wyborze firmy,"{'entities': [(35, 48, 'company')]}"
"w Tarnowie, w których Farmacol S.A. jest jedynym udziałowcem podj ły uchwały","{'entities': [(22, 35, 'company')]}"
W I półroczu 2006 roku w składzie Zarz du Farmacol S.A. nast piły nast puj ce zmiany:,"{'entities': [(42, 55, 'company')]}"
w Farmacol S.A. w I półroczu 2006 roku:,"{'entities': [(2, 15, 'company')]}"
"Mościska ul. Bakaliowa 1, 05- 080 Izabelin","{'entities': [(13, 24, 'street_full')]}"
New Logistic Sp. z o.o z siedzibą w Warszawie ul. Fabryczna 5. Spółka zarejestrowana w Sądzie Rejonowym dla m.st.,"{'entities': [(50, 61, 'street_full')]}"
Bakalland Trade Sp. z o.o z siedzibą w Warszawie ul. Fabryczna 5 ( zmiana siedziby dokonana 08.02.2007r.) . Spółka,"{'entities': [(53, 64, 'street_full')]}"
Paranuss Sp. z o.o. z siedzibą w Warszawie ul. Fabryczna 5 ( zmiana siedziby dokonana 15.03.2007r.) . Spółka,"{'entities': [(47, 58, 'street_full')]}"
"- zgodnie z jego najlepszą wiedzą, półroczne skonsolidowane sprawozdanie finansowe Grupy Kapitałowej Netia S.A.","{'entities': [(101, 111, 'company')]}"
Dla Rady Nadzorczej NETIA S.A.,"{'entities': [(20, 30, 'company')]}"
"Kapitałowej NETIA S.A. („Grupa”), w której jednostką dominującą jest NETIA S.A. (“Spółka”) z","{'entities': [(12, 22, 'company'), (69, 79, 'company')]}"
"siedzibą w Warszawie, przy ulicy Poleczki 13, obejmującego:","{'entities': [(33, 44, 'street_full')]}"
"“Netia Holdings S.A.” na “Netia S.A.”. Siedziba Spółki znajduje się w Polsce, w Warszawie przy ulicy Poleczki 13. Emitent wraz","{'entities': [(26, 36, 'company'), (101, 112, 'street_full')]}"
